sample_id,package_name,app_country_code,source_path,apk_sha256,app_country_name,app_store,collection_batch,notes
com.maxbupa.healthapp_in,com.maxbupa.healthapp,IN,D:\New folder\Geo-Difference_MobileSecurity\decoded\com.maxbupa.healthapp_decoded,810f33218b6f7f43253846daa170cdd17492ff626a190908bb72b616217f0c50,India,google-play,batch_001,auto_generated
com.utkarshnew.android_in,com.utkarshnew.android,IN,D:\New folder\Geo-Difference_MobileSecurity\decoded\com.utkarshnew.android_decoded,a820d470ca165630293c8c9fd11233c07661bc75bc657428b20587f05ab47eb5,India,google-play,batch_001,auto_generated
