tracker_name,package_prefix,categories,network_signature,website,source,code_signature
PingStart,com.pingstart.adsdk,Advertisement,api\.pingstart\.com,http://pingstart.com,exodus,com.pingstart.adsdk.
Placed,com.placed.client,,,http://placed.com/,exodus,com.placed.client
Placer,com.placer.client.placer,Location|Profiling|Analytics,,https://placer.io/,exodus,com.placer.client.Placer
PlaytestCloud Event Tracking,com.playtestcloud.analytics,Analytics,,https://www.playtestcloud.com,exodus,com.playtestcloud.Analytics
Plexure,co.vmob.sdk,Analytics,,https://www.plexure.com/,exodus,co.vmob.sdk
Point Inside,com.pointinside,Location|Analytics,,https://www.pointinside.com/,exodus,com.pointinside
Pollfish,com.pollfish,Profiling,,https://www.pollfish.com,exodus,com.pollfish
Prebid Mobile,org.prebid.mobile,Advertisement,.prebid.org,https://prebid.org,exodus,org.prebid.mobile
PredicIO,com.telescope.android,Advertisement|Analytics|Location|Identification,sdk\.predic\.io,https://www.predic.io/,exodus,com.telescope.android|io.predic.tracker
PredicIO,io.predic.tracker,Advertisement|Analytics|Location|Identification,sdk\.predic\.io,https://www.predic.io/,exodus,com.telescope.android|io.predic.tracker
Proximi.io,io.proximi.proximiiolibrary,Location|Analytics,api\.proximi\.fi,https://proximi.io/,exodus,io.proximi.proximiiolibrary
PubMatic,com.pubmatic.sdk,Advertisement,ads\.pubmatic\.com|aktrack\.pubmatic\.com|gads\.pubmatic\.com|image2\.pubmatic\.com|simage2\.pubmatic\.com,https://pubmatic.com/,exodus,com.pubmatic.sdk
PubNative,net.pubnative,Advertisement,pubnative\.net,https://pubnative.net/,exodus,net.pubnative
PushSpring,com.pushspring.sdk.pushspring,,api\.pushspring\.com,http://www.pushspring.com/,exodus,com.pushspring.sdk.PushSpring
Pusher,com.pusher.client,,,https://pusher.com/,exodus,com.pusher.client.
Pushwoosh,com.pushwoosh,,pushwoosh\.com,https://www.pushwoosh.com/,exodus,com.pushwoosh
Pyze,com.pyze,Analytics,pyze\.com,https://pyze.com/,exodus,com.pyze.
Qualtrics,com.qualtrics.digital,,qualtrics\.com,http://www.qualtrics.com/,exodus,com.qualtrics.digital.
Quantcast,com.quantcast.measurement.service,Profiling|Analytics,quantcast\.com|quantcast\.net,http://www.quantcast.com,exodus,com.quantcast.measurement.service.
Radar,io.radar.sdk.radar,,,https://radar.io/,exodus,io.radar.sdk.Radar
Radius Networks,com.radiusnetworks,Analytics,proximitykit\.radiusnetworks\.com,https://www.radiusnetworks.com/,exodus,com.radiusnetworks
Raygun,com.mindscapehq.android.raygun4android,Analytics|Crash reporting,,https://raygun.com,exodus,com.mindscapehq.android.raygun4android
Receptiv (formerly Mediabrix),com.mediabrix.android,Advertisement,,https://www.receptiv.com/,exodus,com.mediabrix.android
Repro,io.repro.android,Analytics,,https://repro.io/,exodus,io.repro.android.
Retency,com.retency.sdk.android,Analytics,,http://retency.com,exodus,com.retency.sdk.android
Reveal Mobile,com.stepleaderdigital.reveal,Location|Analytics,,https://revealmobile.com/,exodus,com.stepleaderdigital.reveal
Revmob,com.revmob.ads,Advertisement,,https://www.crunchbase.com/organization/revmob,exodus,com.revmob.ads.
