permission,count,suggested_category,confidence,reason
android.permission.CLEAR_APP_USER_DATA,1,Unknown,Low,No matching heuristics
android.permission.DELETE_CACHE_FILES,1,Unknown,Low,No matching heuristics
android.permission.GET_PACKAGE_SIZE,1,Unknown,Low,No matching heuristics
android.permission.ACCESS_ALL_EXTERNAL_STORAGE,1,Storage,Medium,Contains storage related keywords
temporaryEnableAccessibilityStateUntilKeyguardRemoved,1,Unknown,Low,No matching heuristics
"android.permission.BACKUP, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.FILTER_EVENTS, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.KILL_BACKGROUND_PROCESSES, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.REORDER_TASKS, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.SHUTDOWN, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.START_ANY_ACTIVITY, android.permission.STOP_APP_SWITCHES",1,Unknown,Low,No matching heuristics
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_NETWORK_USAGE_HISTORY",1,Connectivity,Low,Contains network keywords
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.MODIFY_NETWORK_ACCOUNTING, android.permission.READ_NETWORK_USAGE_HISTORY",1,Accounts,High,Contains ACCOUNT keyword
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.MODIFY_NETWORK_ACCOUNTING",1,Accounts,High,Contains ACCOUNT keyword
