package,class,method,permissions,categories
android.provider,ContactsContract$AggregationExceptions,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$CommonDataKinds$Callable,CONTENT_FILTER_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$CommonDataKinds$Callable,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$CommonDataKinds$Contactables,CONTENT_FILTER_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$CommonDataKinds$Contactables,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$CommonDataKinds$Email,CONTENT_FILTER_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$CommonDataKinds$Email,CONTENT_LOOKUP_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$CommonDataKinds$Email,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$CommonDataKinds$Email,ENTERPRISE_CONTENT_LOOKUP_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$CommonDataKinds$Phone,CONTENT_FILTER_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$CommonDataKinds$Phone,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$CommonDataKinds$StructuredPostal,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$Contacts,CONTENT_FILTER_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$Contacts,CONTENT_FREQUENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$Contacts,CONTENT_GROUP_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
