record_id,category,subcategory,framework,package_name,class_name,method_name,api_name,api_type,permission,sources,source_versions,supported_android_versions,import_timestamp,min_android_api,max_android_api,confidence,documentation_url,deprecated,notes
,Unknown,,Android Framework,android.provider,CalendarContract$CalendarEntity,CONTENT_URI,CONTENT_URI,field,android.permission.READ_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$CalendarEntity,CONTENT_URI,CONTENT_URI,field,android.permission.WRITE_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$Calendars,CONTENT_URI,CONTENT_URI,field,android.permission.READ_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$Calendars,CONTENT_URI,CONTENT_URI,field,android.permission.WRITE_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$Colors,CONTENT_URI,CONTENT_URI,field,android.permission.READ_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$Colors,CONTENT_URI,CONTENT_URI,field,android.permission.WRITE_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$EventDays,CONTENT_URI,CONTENT_URI,field,android.permission.READ_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$EventDays,CONTENT_URI,CONTENT_URI,field,android.permission.WRITE_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$Events,CONTENT_URI,CONTENT_URI,field,android.permission.READ_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$Events,CONTENT_URI,CONTENT_URI,field,android.permission.WRITE_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$EventsEntity,CONTENT_URI,CONTENT_URI,field,android.permission.READ_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$EventsEntity,CONTENT_URI,CONTENT_URI,field,android.permission.WRITE_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$ExtendedProperties,CONTENT_URI,CONTENT_URI,field,android.permission.READ_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$ExtendedProperties,CONTENT_URI,CONTENT_URI,field,android.permission.WRITE_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$Instances,CONTENT_URI,CONTENT_URI,field,android.permission.READ_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$Instances,CONTENT_URI,CONTENT_URI,field,android.permission.WRITE_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$Reminders,CONTENT_URI,CONTENT_URI,field,android.permission.READ_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.678825+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$Reminders,CONTENT_URI,CONTENT_URI,field,android.permission.WRITE_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.678825+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$SyncState,CONTENT_URI,CONTENT_URI,field,android.permission.READ_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.678825+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CalendarContract$SyncState,CONTENT_URI,CONTENT_URI,field,android.permission.WRITE_CALENDAR,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.678825+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CallLog,CONTENT_URI,CONTENT_URI,field,android.permission.READ_CALL_LOG,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.678825+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CallLog,CONTENT_URI,CONTENT_URI,field,android.permission.WRITE_CALL_LOG,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.678825+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CallLog$Calls,CONTENT_FILTER_URI,CONTENT_FILTER_URI,field,android.permission.READ_CALL_LOG,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.678825+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CallLog$Calls,CONTENT_FILTER_URI,CONTENT_FILTER_URI,field,android.permission.WRITE_CALL_LOG,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.678825+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CallLog$Calls,CONTENT_URI,CONTENT_URI,field,android.permission.READ_CALL_LOG,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.678825+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.provider,CallLog$Calls,CONTENT_URI,CONTENT_URI,field,android.permission.WRITE_CALL_LOG,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.678825+00:00,23,25,high,,False,
,Device Identifiers,,Android Framework,android.telecom,TelecomManager,getDefaultOutgoingPhoneAccount,getDefaultOutgoingPhoneAccount,method,android.permission.READ_PHONE_STATE,"[""PScout""]","[""API-23"", ""API-25"", ""TXT""]","[23, 25]",2026-07-07T13:53:25.678825+00:00,23,25,high,,False,
,Device Identifiers,,Android Framework,android.telecom,TelecomManager,isInCall,isInCall,method,android.permission.READ_PHONE_STATE,"[""PScout""]","[""API-23"", ""API-25"", ""TXT""]","[23, 25]",2026-07-07T13:53:25.678825+00:00,23,25,high,,False,
,Device Identifiers,,Android Framework,android.telecom,TelecomManager,isVoiceMailNumber,isVoiceMailNumber,method,android.permission.READ_PHONE_STATE,"[""PScout""]","[""API-23"", ""API-25"", ""TXT""]","[23, 25]",2026-07-07T13:53:25.678825+00:00,23,25,high,,False,
