permission,android_permission_group,privacy_category,source
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.READ_SYNC_SETTINGS",,,
com.android.printspooler.permission.ACCESS_ALL_PRINT_JOBS,,,
android.permission.CRYPT_KEEPER,,,
android.permission.READ_NETWORK_USAGE_HISTORY,,,
android.permission.INSTALL_PACKAGES,,,
android.permission.DISABLE_KEYGUARD,SYSTEM_TOOLS,System Tools,AOSP
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SEND_SMS, android.permission.SEND_SMS_NO_CONFIRMATION",,,
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SET_PREFERRED_APPLICATIONS",,,
android.permission.MANAGE_USERS,,,
"android.permission.ACCESS_NETWORK_STATE, android.permission.CHANGE_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL",,,
"android.permission.MANAGE_APP_TOKENS, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",,,
android.permission.MANAGE_MEDIA_PROJECTION,,,
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY",,,
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_PRIVILEGED",,,
"android.permission.MODIFY_PHONE_STATE, android.permission.READ_PHONE_STATE",,,
"android.permission.ACCESS_KEYGUARD_SECURE_STORAGE, android.permission.READ_CONTACTS",,,
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS",,,
android.permission.MANAGE_SOUND_TRIGGER,,,
android.permission.READ_CONTACTS,CONTACTS,Contacts,AOSP
android.permission.CALL_PRIVILEGED,,,
android.permission.CONTROL_LOCATION_UPDATES,LOCATION,Location,AOSP
android.permission.ACCESS_FINE_LOCATION,LOCATION,Location,AOSP
android.permission.WRITE_PROFILE,PERSONAL_INFO,Personal Info,AOSP
android.permission.ACCESS_DRM,,,
android.permission.MODIFY_APPWIDGET_BIND_PERMISSIONS,,,
android.permission.ASEC_CREATE,,,
android.permission.ASEC_ACCESS,,,
android.permission.SET_KEYBOARD_LAYOUT,,,
ti.permission.FMRX,,,
"android.permission.CHANGE_COMPONENT_ENABLED_STATE, android.permission.INTERACT_ACROSS_USERS_FULL",,,
android.permission.MAGNIFY_DISPLAY,,,
android.permission.GET_TOP_ACTIVITY_INFO,,,
android.permission.MEDIA_CONTENT_CONTROL,MEDIA,Storage,AOSP
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.STATUS_BAR, android.permission.WRITE_SECURE_SETTINGS",,,
"android.permission.CHANGE_WIFI_STATE, android.permission.UPDATE_DEVICE_STATS",,,
android.permission.MODIFY_AUDIO_ROUTING,,,
"android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_PRIVILEGED",,,
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_APP_TOKENS, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",,,
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.WRITE_SYNC_SETTINGS",,,
