permission,android_permission_group,privacy_category,source
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",,,
"android.permission.BIND_VOICE_INTERACTION, android.permission.BROADCAST_STICKY, android.permission.UPDATE_DEVICE_STATS",,,
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_APP_TOKENS, android.permission.START_ANY_ACTIVITY, android.permission.STOP_APP_SWITCHES, android.permission.UPDATE_DEVICE_STATS",,,
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_ACTIVITY_STACKS, android.permission.UPDATE_DEVICE_STATS",,,
"android.permission.FORCE_BACK, android.permission.UPDATE_DEVICE_STATS",,,
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",,,
android.permission.SET_INPUT_CALIBRATION,,,
android.permission.RECEIVE_BOOT_COMPLETED,SYSTEM_TOOLS,System Tools,AOSP
"android.permission.MANAGE_MEDIA_PROJECTION, android.permission.UPDATE_APP_OPS_STATS",,,
"android.permission.REBOOT, android.permission.RECOVERY",,,
"android.permission.MODIFY_PHONE_STATE, com.android.server.telecom.permission.REGISTER_PROVIDER_OR_SUBSCRIPTION",,,
"android.permission.CHANGE_NETWORK_STATE, android.permission.CHANGE_WIFI_STATE, android.permission.CONNECTIVITY_INTERNAL",,,
"android.permission.CHANGE_WIFI_STATE, android.permission.LOCATION_HARDWARE, android.permission.UPDATE_DEVICE_STATS",,,
"android.permission.ACCESS_WIFI_STATE, android.permission.CHANGE_WIFI_STATE, android.permission.CONNECTIVITY_INTERNAL, android.permission.LOCATION_HARDWARE",,,
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SEND_RESPOND_VIA_MESSAGE, android.permission.UPDATE_APP_OPS_STATS",,,
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SEND_RESPOND_VIA_MESSAGE",,,
"android.permission.ACCESS_NETWORK_STATE, android.permission.CONTROL_VPN",,,
android.permission.BROADCAST_NETWORK_PRIVILEGED,,,
android.permission.CONFIRM_FULL_BACKUP,,,
"android.permission.BROADCAST_STICKY, android.permission.SET_DEBUG_APP",,,
android.permission.START_TASKS_FROM_RECENTS,,,
android.permission.BIND_VOICE_INTERACTION,,,
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_PHONE_STATE",,,
"android.permission.MODIFY_PHONE_STATE, android.permission.REGISTER_CONNECTION_MANAGER",,,
"android.permission.ACCESS_WIFI_STATE, android.permission.CHANGE_WIFI_STATE, android.permission.LOCATION_HARDWARE",,,
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MODIFY_PHONE_STATE",,,
"android.permission.BLUETOOTH, android.permission.LOCAL_MAC_ADDRESS",,,
"android.permission.ACCESS_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL, android.permission.CONTROL_VPN, android.permission.INTERACT_ACROSS_USERS_FULL",,,
android.permission.PACKET_KEEPALIVE_OFFLOAD,,,
"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION, android.permission.INSTALL_LOCATION_PROVIDER",,,
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.START_ANY_ACTIVITY",,,
"android.permission.BROADCAST_STICKY, android.permission.SET_PROCESS_LIMIT",,,
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MODIFY_AUDIO_SETTINGS",,,
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_DEVICE_ADMINS, android.permission.MANAGE_PROFILE_AND_DEVICE_OWNERS",,,
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.QUERY_DO_NOT_ASK_CREDENTIALS_ON_BOOT",,,
android.permission.NOTIFY_PENDING_SYSTEM_UPDATE,,,
android.permission.CONFIGURE_DISPLAY_COLOR_TRANSFORM,,,
"android.permission.MANAGE_FINGERPRINT, android.permission.USE_FINGERPRINT",,,
android.permission.RESET_FINGERPRINT_LOCKOUT,,,
android.permission.TABLET_MODE_LISTENER,,,
android.permission.OBSERVE_GRANT_REVOKE_PERMISSIONS,,,
"android.permission.GET_PACKAGE_SIZE, android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",,,
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL",,,
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MOVE_PACKAGE, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",,,
android.permission.GRANT_RUNTIME_PERMISSIONS,,,
android.permission.INTENT_FILTER_VERIFICATION_AGENT,,,
"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION, android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_PRIVILEGED, android.permission.PEERS_MAC_ADDRESS, android.permission.UPDATE_DEVICE_STATS",,,
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.TETHER_PRIVILEGED",,,
android.car.permission.CAR_RADIO,,,
"android.car.permission.CAR_CAMERA, android.car.permission.CAR_HVAC, android.car.permission.CAR_MOCK_VEHICLE_HAL, android.car.permission.CAR_NAVIGATION_MANAGER, android.car.permission.CAR_PROJECTION, android.car.permission.CAR_RADIO",,,
android.car.permission.CONTROL_APP_BLOCKING,,,
"android.permission.INTERACT_ACROSS_USERS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_APP_OPS_RESTRICTIONS",,,
"android.permission.ACCESS_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL, android.permission.CONTROL_VPN, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.TETHER_PRIVILEGED",,,
android.permission.TETHER_PRIVILEGED,,,
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.READ_EXTERNAL_STORAGE",,,
"android.permission.CONFIRM_FULL_BACKUP, android.permission.START_ANY_ACTIVITY, android.permission.START_TASKS_FROM_RECENTS",,,
android.permission.CLEAR_APP_GRANTED_URI_PERMISSIONS,,,
android.permission.GET_APP_GRANTED_URI_PERMISSIONS,,,
android.permission.GET_INTENT_SENDER_INTENT,,,
"android.permission.BROADCAST_STICKY, android.permission.READ_FRAME_BUFFER",,,
"android.permission.BROADCAST_STICKY, android.permission.REORDER_TASKS",,,
"android.permission.SET_DEBUG_APP, android.permission.START_ANY_ACTIVITY, android.permission.START_TASKS_FROM_RECENTS",,,
"android.permission.BROADCAST_STICKY, android.permission.REMOVE_TASKS",,,
"android.permission.BROADCAST_STICKY, android.permission.SET_ACTIVITY_WATCHER",,,
"android.permission.BROADCAST_STICKY, android.permission.START_TASKS_FROM_RECENTS",,,
"android.permission.BROADCAST_STICKY, android.permission.STOP_APP_SWITCHES",,,
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_DEVICE_ADMINS, android.permission.MANAGE_PROFILE_AND_DEVICE_OWNERS, android.permission.MANAGE_USERS",,,
android.permission.MANAGE_DEVICE_ADMINS,,,
"android.permission.CONNECTIVITY_INTERNAL, android.permission.UPDATE_DEVICE_STATS",,,
"android.permission.PACKAGE_USAGE_STATS, android.permission.READ_NETWORK_USAGE_HISTORY",,,
android.permission.RESET_SHORTCUT_MANAGER_THROTTLING,,,
android.permission.BIND_CARRIER_SERVICES,,,
android.permission.CHANGE_APP_IDLE_STATE,,,
"android.permission.CHANGE_WIFI_STATE, android.permission.CONNECTIVITY_INTERNAL",,,
"android.permission.ACCESS_WIFI_STATE, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.PEERS_MAC_ADDRESS, android.permission.SCORE_NETWORKS",,,
"android.permission.CHANGE_WIFI_STATE, android.permission.TETHER_PRIVILEGED",,,
"android.permission.ACCESS_NETWORK_STATE, android.permission.ACCESS_WIFI_STATE, android.permission.CHANGE_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL",,,
"android.permission.BROADCAST_STICKY, android.permission.READ_EXTERNAL_STORAGE, android.permission.START_ANY_ACTIVITY, android.permission.START_TASKS_FROM_RECENTS",,,
android.permission.CONFIGURE_DISPLAY_COLOR_MODE,,,
"android.permission.CONNECTIVITY_INTERNAL, android.permission.RECEIVE_BOOT_COMPLETED",,,
